molecule,peak_value,unit,rel_intensity,source
caffeic acid,554.0,cm^-1,w,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,577.0,cm^-1,m,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,592.0,cm^-1,w,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,604.0,cm^-1,w,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,782.0,cm^-1,w,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,803.0,cm^-1,w,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,849.0,cm^-1,m,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,936.0,cm^-1,w,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,974.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1118.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1172.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1183.0,cm^-1,m,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1243.0,cm^-1,m,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1281.0,cm^-1,vs,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1288.0,cm^-1,vs,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1298.0,cm^-1,vs,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1325.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1353.0,cm^-1,m,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1375.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1532.0,cm^-1,m,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1598.0,cm^-1,vs,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1620.0,cm^-1,vs,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,1647.0,cm^-1,vs,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,2645.0,cm^-1,m,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,2761.0,cm^-1,m,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,2851.0,cm^-1,vs,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,3235.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,3328.0,cm^-1,m,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,3432.0,cm^-1,vs,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
caffeic acid,3545.0,cm^-1,w,NIST WebBook IR (COBLENTZ NO. 05847); https://webbook.nist.gov/cgi/cbook.cgi?ID=C331395#IR-Spec
ferulic acid,524.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 7277); https://webbook.nist.gov/cgi/cbook.cgi?ID=C1135246#IR-Spec
ferulic acid,546.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 7277); https://webbook.nist.gov/cgi/cbook.cgi?ID=C1135246#IR-Spec
ferulic acid,576.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 7277); https://webbook.nist.gov/cgi/cbook.cgi?ID=C1135246#IR-Spec
ferulic acid,592.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 7277); https://webbook.nist.gov/cgi/cbook.cgi?ID=C1135246#IR-Spec
ferulic acid,601.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 7277); https://webbook.nist.gov/cgi/cbook.cgi?ID=C1135246#IR-Spec
ferulic acid,658.0,cm^-1,s,NIST WebBook IR (COBLENTZ NO. 7277); https://webbook.nist.gov/cgi/cbook.cgi?ID=C1135246#IR-Spec
ferulic acid,689.0,cm^-1,m,NIST WebBook IR (COBLENTZ NO. 7277); https://webbook.nist.gov/cgi/cbook.cgi?ID=C1135246#IR-Spec
